Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Geoff Hartlieb","MIA",0,1,0,4.56481,9,0,0,1,9,41,9,5,5,1,4,0,1,8,7.97124,4.06018,1.96327,0.974453,0.200175,0.10196,0.0982150137424469,0.256647,1.45237,0.307149,0.692707,,,4.31867,-0.0161662,-0.0512467,999,0.272757,-1.99743,1.12222,"19558"
"Vladimir Gutierrez","CIN",0,1,0,5.31211,8,1,0,1,10,45,11,6,6,2,4,0,1,9,7.77659,4.0095,1.93954,1.50044,0.192402,0.0991998,0.09320241957902908,0.269847,1.51727,0.307739,0.682088,,,5.10909,-0.0175102,-0.00555073,999,2.24676,-0.650891,1.05491,"19278"
"Alex Reyes","LAD",2,2,0,4.18406,24,0,1,2,24,106,20,12,11,3,15,1,1,28,10.5412,5.58237,1.88831,1.07793,0.267179,0.141491,0.1256878674030304,0.222451,1.44993,0.291103,0.736679,,,4.28921,-0.0176792,0.0197827,669.0499877929688,1.33706,-0.917038,0.827607,"15015"
"Devin Smeltzer",,0,0,0,4.58194,4,0,0,0,5,23,6,3,3,1,1,0,0,4,6.67501,2.35372,2.83594,1.46758,0.173979,0.0613479,0.11263107135891914,0.269756,1.3328,0.296168,0.705676,,,4.62403,-0.0185042,-0.0516866,999,3.02971,-0.68477,1.20988,"19487"
"Jose Cuas","KCR",2,2,0,4.25982,34,0,0,7,32,141,32,16,15,3,14,0,2,27,7.61402,4.02527,1.89155,0.895695,0.192388,0.101709,0.09067916125059128,0.254454,1.43702,0.302368,0.710916,,,4.23701,-0.0185858,0.0263726,999,1.74532,2.32572,0.718161,"17701"
"Ray Kerr","SDP",0,0,0,4.00681,9,0,0,0,8,36,7,4,4,1,5,0,0,9,10.0162,5.57351,1.79711,1.03391,0.25252,0.140515,0.11200512945652008,0.22785,1.47503,0.29307,0.754159,,,4.33445,-0.0193727,0.0065922,999,1.55756,0.0969376,1.14323,"23809"
"Elvis Peguero","MIL",1,1,0,4.36923,18,0,0,1,19,82,18,10,9,2,7,0,1,17,7.92986,3.27234,2.4233,1.14698,0.20569,0.0848802,0.12081024795770645,0.249674,1.32858,0.293212,0.696334,,,4.26282,-0.0199882,-0.0192001,999,1.93354,-0.880357,1.00029,"21652"
"Tyler Beede",,0,1,0,5.75442,3,1,0,0,7,33,8,5,5,1,4,0,1,5,6.20423,4.46356,1.38998,1.13379,0.147544,0.106149,0.04139545559883118,0.28126,1.63079,0.31336,0.643425,,,5.28355,-0.0202792,-0.0873021,999,2.45444,-0.763443,1.10707,"16981"
"Osvaldo Bido","PIT",0,0,0,4.72116,5,0,0,0,5,24,5,3,3,1,2,0,0,5,8.36926,3.71435,2.25322,1.39204,0.213187,0.0946146,0.11857286095619202,0.256263,1.41194,0.300059,0.704157,,,4.65154,-0.0205881,-0.0427762,999,1.30737,0.666458,1.20817,"sa3003138"
"Jacob Barnes","TEX",1,1,0,4.79621,13,0,0,1,13,58,13,8,7,2,5,0,1,12,8.28862,3.51486,2.35816,1.18308,0.212518,0.0901202,0.12239786982536316,0.256806,1.39262,0.305518,0.672991,,,4.27383,-0.0210588,-0.159787,999,1.94751,1.63692,1.03314,"12323"
"Norge Ruiz","OAK",0,0,0,4.51183,7,0,0,0,7,31,7,4,4,1,3,0,0,6,7.04307,3.47657,2.02587,0.980733,0.181169,0.0894279,0.09174114465713501,0.257822,1.39371,0.297906,0.683882,,,4.20022,-0.0214151,-0.0767504,999,1.81661,-2.60713,1.16461,"19580"
"Thomas Hatch","TOR",1,1,0,4.49894,13,1,0,1,16,70,17,9,8,3,5,0,1,14,7.52323,2.83392,2.65471,1.38214,0.193518,0.072896,0.12062180787324905,0.264227,1.35632,0.300772,0.712305,,,4.57143,-0.0223881,-0.0674691,999,1.99474,-0.559647,1.00679,"19264"
"Alan Rangel","ATL",0,0,0,4.61253,5,0,0,1,6,28,7,4,3,1,2,0,0,6,8.92662,3.33998,2.67266,1.58186,0.230457,0.0862278,0.1442296802997589,0.262594,1.40382,0.309915,0.731374,,,4.52698,-0.0234315,-0.0839033,999,1.44193,0.759643,1.18349,"sa877578"
"Miguel Sánchez",,0,0,0,4.54623,7,0,0,0,7,28,6,4,3,1,3,0,0,6,7.69068,4.02837,1.90913,1.39903,0.19916,0.10432,0.0948403999209404,0.245384,1.39061,0.277993,0.717443,,,4.767,-0.0237837,-0.0395766,999,2.0951,0.426115,1.18411,"20074"
"Carlos Vargas","ARI",1,2,0,4.44887,19,0,0,1,20,86,19,10,10,2,9,0,1,18,8.1329,4.08896,1.98899,0.980662,0.206146,0.103643,0.10250230878591537,0.250917,1.42573,0.30168,0.6978,,,4.25817,-0.0239195,0.047933,999,1.34291,2.78927,0.910366,"sa3007467"
"J.B. Bukauskas","SEA",0,1,0,5.02247,12,0,0,1,11,49,11,7,6,1,5,0,1,10,8.46523,4.28863,1.97388,0.967775,0.21405,0.108442,0.10560895502567291,0.247094,1.42825,0.301113,0.643084,,,4.25656,-0.024113,-0.19571,999,1.67619,0.834863,1.0612,"20491"
"Ryan Hendrix","ARI",0,0,0,4.80094,8,0,0,0,7,34,7,4,4,1,5,0,0,8,9.21095,5.64357,1.63211,1.0356,0.226294,0.138651,0.08764305710792542,0.251279,1.60034,0.313813,0.709062,,,4.50945,-0.0252457,-0.0341979,999,2.79604,-0.677571,1.11843,"19535"
"Alex Claudio",,0,0,0,4.5743,11,0,0,1,11,47,11,6,6,1,4,0,0,9,7.11447,3.38669,2.10071,1.18657,0.184206,0.0876875,0.09651883691549301,0.259272,1.39137,0.295124,0.695163,,,4.37427,-0.0256703,-0.0328315,999,1.60199,1.19902,1.13032,"12890"
"Michael Kelly","CLE",0,0,0,4.56509,7,0,0,0,7,32,7,4,4,1,4,0,0,7,8.90427,4.67583,1.90432,1.31005,0.220582,0.115832,0.10474951565265656,0.261759,1.54779,0.316001,0.741405,,,4.69697,-0.0256874,-0.0534732,999,1.6067,-1.41364,1.13808,"12791"
"Chris Devenski","LAA",2,1,0,4.90545,30,0,0,2,30,126,30,18,16,5,8,0,1,27,8.338,2.58474,3.22586,1.62393,0.217228,0.0673397,0.14988847076892853,0.262098,1.31726,0.300946,0.680801,,,4.60956,-0.0257701,-0.28827,999,1.67857,-2.06015,0.768324,"12763"
"Tyler Cyr","LAD",1,1,0,4.12102,16,0,0,1,17,72,15,8,8,2,8,0,1,17,9.38877,4.44757,2.11099,1.1424,0.24009,0.113733,0.12635620683431625,0.236704,1.39349,0.293772,0.736794,,,4.31332,-0.0265821,0.0664951,999,2.14056,0.356259,1.00252,"18421"
"Justin Wilson","MIL",1,1,0,4.15053,16,0,0,2,15,65,14,8,7,2,7,0,1,15,8.85597,4.09554,2.16234,1.1755,0.228297,0.105579,0.12271848320960999,0.239922,1.37046,0.290576,0.731884,,,4.32667,-0.0268213,-0.0260442,999,1.437,0.63903,1.05248,"4301"
"Joe Barlow","TEX",3,3,0,4.17466,53,0,5,9,53,227,47,27,25,6,23,1,3,50,8.42534,3.96043,2.12738,1.02736,0.218844,0.10287,0.11597394943237305,0.235479,1.33203,0.284124,0.706221,,,4.1933,-0.027838,-0.0624275,551.47998046875,2.53293,0.711995,0.679638,"22296"
"Adrian Sampson","CHC",3,4,2,4.41472,37,7,0,2,73,317,78,39,36,11,21,1,4,52,6.41771,2.57366,2.49361,1.39204,0.165479,0.0663612,0.09911773353815079,0.268982,1.35303,0.294387,0.721389,,,4.72332,-0.0291393,0.193662,712.3499755859375,3.88194,1.14637,0.332779,"13339"
"Guillermo Zuñiga",,0,1,0,4.5588,8,0,0,1,8,36,8,5,4,1,4,0,0,8,8.17384,4.48907,1.82083,1.17621,0.207706,0.114072,0.09363380819559097,0.247778,1.45403,0.292775,0.710783,,,4.54691,-0.0297489,-0.0971054,999,1.05652,2.29977,1.13373,"sa945024"
"Franklin German","CHW",1,1,0,4.63674,16,0,0,1,16,69,15,9,8,2,6,0,1,15,8.56426,3.65764,2.34147,1.38271,0.219993,0.0939551,0.12603798508644104,0.249768,1.37188,0.294117,0.701843,,,4.58667,-0.0298556,-0.0910183,999,1.75584,-1.11761,1.00529,"24750"
"Anthony Kay",,0,1,0,4.88962,9,1,0,1,13,60,14,8,7,2,7,0,1,14,9.39828,4.91026,1.91401,1.26021,0.229182,0.119739,0.1094428077340126,0.26568,1.59482,0.328833,0.717969,,,4.66585,-0.0307563,-0.0941375,999,2.37677,0.168418,0.98644,"20387"
"Zack Littell","TEX",1,1,0,4.26721,22,0,0,3,23,100,23,12,11,3,8,0,1,22,8.3433,3.13921,2.65777,1.31979,0.216775,0.0815628,0.13521238416433334,0.254012,1.33627,0.298822,0.725842,,,4.33176,-0.0310103,-0.0569786,999,1.13862,1.69344,0.929809,"15823"
"Kirk McCarty",,1,0,0,4.86072,3,0,0,0,6,27,6,4,3,1,2,0,0,5,7.12337,2.98847,2.38362,1.4058,0.184049,0.0772141,0.10683462768793106,0.25686,1.33441,0.286381,0.669846,,,4.75422,-0.0310851,-0.103388,999,0.554888,-0.748527,1.16983,"20555"
"Michael Plassmeyer","PHI",1,2,1,4.5621,18,2,0,2,31,134,32,17,16,5,10,1,1,27,7.6789,2.85586,2.68882,1.51037,0.199327,0.0741317,0.12519527226686478,0.259433,1.33324,0.292964,0.712251,,,4.68127,-0.0315746,0.0349525,999,1.06804,2.08799,0.793625,"23191"
