Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Max Schrock","SDP",5,18,17,4,3,1,0,0,2,2,1,0,3,0,0,0,0,0,0,0.23386,0.0611711,0.173216,0.353149,0.286561,0.341931,0.277361,0.628492,0.108071,3.72029,0.268992,,-0.00337231,1.60737,-0.466644,80.7204,-0.00337231,0,-0.40966111700981855,-0.19993387162685394,0.0000694322,999,,,,"17750"
"Andrew Bechtold","MIN",3,9,8,2,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0.203405,0.0796655,0.328907,0.242213,0.269197,0.312758,0.260173,0.581955,0.109354,2.89759,0.293398,,-0.00456455,0.658785,-0.346092,68.0251,-0.00456455,0,-0.3207678468897939,0.03228982910513878,-0.000900745,999,,,,"sa829787"
"Mickey Moniak","LAA",22,81,75,16,10,3,0,2,9,8,5,0,24,1,1,0,1,1,0,0.215329,0.0579604,0.295613,0.196069,0.264892,0.365091,0.273914,0.629983,0.149762,5.07912,0.280312,,0.0412679,6.93761,-2.29952,74.4894,0.0412679,0.48,-2.2777401842176914,-0.30465540289878845,-0.000994977,750.1300048828125,,,,"19956"
"Moisés Gómez","STL",3,8,7,1,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0.20334,0.0711007,0.377972,0.188111,0.265451,0.364088,0.275402,0.62954,0.160749,4.11993,0.3007,,0.00217543,0.684919,-0.214644,79.0788,0.00217543,0,-0.1890485342592001,-0.08671737462282181,-0.00116328,999,,,,"sa875163"
"Brenton Doyle","COL",6,23,22,5,3,1,0,1,3,2,1,0,7,0,0,0,0,0,0,0.235564,0.0454538,0.3127,0.145359,0.275464,0.371795,0.282286,0.647259,0.136232,5.65523,0.323157,,0.0389376,2.16154,-0.509595,65.4165,0.0389376,0,-0.8996796943247318,0.08936727792024612,-0.00255782,999,,,,"sa3009965"
"Andrelton Simmons",,43,154,141,32,25,5,0,1,14,11,9,0,25,1,1,1,4,2,1,0.225034,0.0609601,0.160673,0.379405,0.277476,0.284327,0.252494,0.561803,0.0592931,4.16699,0.266591,,-0.0562787,10.6158,-7.01144,60.4774,-0.0562787,0.38,-7.023645877838135,1.9458539485931396,-0.00310181,999,,,,"10847"
"Símon Muzziotti","PHI",10,21,19,5,3,1,0,0,2,2,1,0,4,0,0,0,0,1,0,0.238788,0.0688131,0.200847,0.342614,0.293194,0.341354,0.279783,0.634549,0.102566,5.75024,0.290991,,0.0495369,1.91127,-0.502465,77.1745,0.0495369,0,-0.5102636814117432,-0.2326829731464386,-0.0034366,999,,,,"19553"
"Mike Moustakas","COL",62,240,216,45,28,9,0,8,25,27,19,1,57,3,2,0,3,1,0,0.210757,0.0806921,0.237055,0.340393,0.283196,0.370411,0.287355,0.653606,0.159653,2.80649,0.244871,,-0.164864,23.1784,-4.27005,84.6948,-0.164864,-0.09,-4.366283565759659,-3.54201540350914,-0.00497177,737.760009765625,,,,"4892"
"Ildemaro Vargas","WSN",62,225,211,49,36,10,1,2,20,19,11,1,31,1,2,0,5,2,1,0.231756,0.0493127,0.138614,0.355754,0.271369,0.319162,0.259798,0.590531,0.0874064,3.74945,0.261066,,-0.0728947,16.8313,-8.94479,63.4625,-0.0728947,0.49,-9.642172507941723,2.0102293491363525,-0.00499919,748.4099731445312,,,,"13324"
"Cade Marlowe","SEA",4,16,15,3,2,1,0,0,2,1,1,0,5,0,0,0,0,0,0,0.208697,0.0725754,0.319779,0.226954,0.272607,0.336775,0.269114,0.609382,0.128078,5.37059,0.290392,,0.0350355,1.31931,-0.518927,77.7336,0.0350355,0,-0.36777014657855034,-0.19439813494682312,-0.00526506,999,,,,"sa1170288"
"Jesús Aguilar","OAK",102,416,373,84,55,16,0,13,38,49,33,1,92,4,4,2,6,0,0,0.224131,0.0782218,0.220712,0.354407,0.289813,0.372297,0.290843,0.662111,0.148167,1.46626,0.258588,,-0.379362,41.3121,-6.24595,93.4898,-0.379362,-0.61,-3.4262908697128296,-9.884628653526306,-0.0067258,471.9700012207031,,,,"11342"
"Ben DeLuzio","CHC",10,15,14,3,2,1,0,0,2,1,1,0,4,0,0,0,0,0,0,0.228231,0.0614457,0.264792,0.232053,0.285655,0.326958,0.27249,0.612614,0.0987276,6.12405,0.30623,,0.0470888,1.27072,-0.443788,73.9826,0.0470888,0,-0.4061514623463154,-0.16527777910232544,-0.00702987,999,,,,"19644"
"Daz Cameron","BAL",11,30,27,6,4,1,0,1,3,3,2,0,9,0,0,0,0,1,0,0.216497,0.0695668,0.300987,0.231129,0.279337,0.343933,0.276022,0.62327,0.127437,5.65296,0.29577,,0.0396953,2.64047,-0.807988,78.0555,0.0396953,0,-0.7050296105444431,-0.3324294686317444,-0.00807653,747.510009765625,,,,"18353"
"Luke Raley","TBR",24,85,76,16,10,3,0,2,9,9,6,0,27,3,0,0,2,1,0,0.214744,0.0673408,0.31433,0.214236,0.291757,0.358755,0.28876,0.650512,0.144011,4.80434,0.295032,,0.0150525,8.32774,-1.42144,91.862,0.0150525,-0.31,-0.7657324774190784,-2.0437139868736267,-0.00985937,746.7100219726562,,,,"19354"
"Erick Mejia","WSN",5,16,15,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.21468,0.0628669,0.228654,0.274943,0.265913,0.312826,0.256371,0.578739,0.0981466,5.0789,0.269346,,0.0238419,1.14635,-0.675645,61.1194,0.0238419,0,-0.6959450673311949,0.05854644253849983,-0.0106357,999,,,,"15817"
"Luis Barrera","LAA",8,19,17,4,3,1,0,0,2,2,1,0,4,0,0,0,0,0,0,0.231135,0.0623863,0.228299,0.273266,0.283145,0.34102,0.275266,0.624165,0.109885,5.39242,0.289316,,0.0187988,1.64944,-0.519599,75.4436,0.0187988,0,-0.505376685410738,-0.20909391343593597,-0.0115816,999,,,,"19615"
"Kyle McCann","OAK",4,13,11,2,1,0,0,0,1,1,1,0,5,0,0,0,0,0,0,0.174538,0.0780878,0.38875,0.200869,0.247477,0.290812,0.242098,0.538289,0.116274,2.65127,0.271567,,-0.00709577,0.759799,-0.673763,59.0772,-0.00709577,-0.23,-0.5844289208762348,0.06567899882793427,-0.0125412,999,,,,"sa1159677"
"Jared Young","CHC",3,9,8,2,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0.222403,0.0655377,0.258512,0.253519,0.281815,0.338743,0.274135,0.620558,0.11634,4.03981,0.287964,,-0.000393649,0.79877,-0.262593,75.1076,-0.000393649,0,-0.2688384255452547,-0.1705246865749359,-0.0133417,999,,,,"20404"
"Charles Leblanc","MIA",9,33,30,7,4,1,0,1,3,3,2,0,10,0,0,0,0,0,0,0.222422,0.0725514,0.311574,0.232854,0.282712,0.351838,0.27967,0.63455,0.129416,4.03541,0.307593,,-0.00763481,2.9616,-0.782327,80.861,-0.00763481,0.09,-0.7357016713358462,-0.49332812428474426,-0.0133786,750.3200073242188,,,,"19813"
"Mark Vientos","NYM",16,50,45,10,7,2,0,2,5,6,4,0,15,0,0,0,1,0,0,0.224344,0.0735245,0.305716,0.2405,0.285628,0.375031,0.287674,0.660659,0.150687,2.66172,0.297813,,-0.031482,4.80166,-0.869691,89.9302,-0.031482,0.01,-0.6117537133395672,-1.1863734629005194,-0.0135859,750.47998046875,,,,"22184"
"Dee Strange-Gordon",,15,57,53,13,10,2,1,0,6,4,2,0,9,0,0,0,1,1,0,0.247412,0.0392075,0.162007,0.242011,0.280633,0.318264,0.263466,0.598896,0.0708519,6.31081,0.293569,,0.0981018,4.38623,-2.07869,68.0996,0.0981018,0,-1.9644210487604141,-0.02129489742219448,-0.0140935,748.3800048828125,,,,"8203"
"Pedro Leon","HOU",7,32,28,6,4,1,0,1,4,3,3,0,11,1,0,0,0,1,0,0.197673,0.0883117,0.335545,0.263189,0.281148,0.319432,0.269106,0.60058,0.121759,6.42829,0.286869,,0.149715,2.60026,-1.02304,73.51,0.149715,0,-0.794845461845398,-0.34928351640701294,-0.0141633,999,,,,"sa3014838"
"Parker Meadows","DET",6,23,21,5,3,1,0,0,2,2,2,0,5,0,0,0,0,0,0,0.216856,0.0719548,0.232706,0.309209,0.277645,0.339444,0.272149,0.617089,0.122588,4.99391,0.267574,,0.0230783,1.97323,-0.697672,76.322,0.0230783,0,-0.599291168153286,-0.2822222411632538,-0.014443,999,,,,"sa3007943"
"Dominic Fletcher","ARI",6,25,23,5,4,1,0,0,2,2,1,0,6,0,0,0,0,0,0,0.237875,0.057154,0.236545,0.24162,0.287286,0.344608,0.278446,0.631893,0.106732,4.46618,0.303919,,0.000118388,2.20059,-0.611532,75.9176,0.000118388,0,-0.6879907719630864,-0.28013888001441956,-0.0147723,999,,,,"sa1115778"
"Tommy La Stella","SEA",47,179,160,37,26,7,0,3,16,17,14,0,28,1,1,0,4,0,0,0.22986,0.0773651,0.154193,0.501741,0.294475,0.337258,0.280859,0.631733,0.107398,2.01749,0.257148,,-0.163413,16.395,-4.11665,86.0252,-0.163413,0.1,-2.984338939189911,-2.9020132049918175,-0.0181651,750.02001953125,,,,"12371"
